申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,單價元平方公尺,車位類別,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,建築完成年月,代表建號屋齡,代表建號層次,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,電梯,車位所在樓層,備註欄,主建物面積,附屬建物面積,陽台面積
買賣,土地,1,0,0,0,0,0,,其他,200000,2351,,0,無,1150223,85.07,,山坡地保育區,丙種建築用地,0,,,,,,,0,石門段65地號,內門區,石門段,,無,,,0,0,0
買賣,房地(土地+建物),1,1,0,1,0,1,,華廈(10層含以下有電梯),800000,16244,,0,有,1150207,15.02,,鄉村區,乙種建築用地,49.25,住家用,鋼筋混凝土造,七層,790920,35,七層,0,高雄市鳥松區松埔北巷１１之１９９號,鳥松區,松埔段,,有,,瑕疵物件；,27.46,4.81,5.02
買賣,房地(土地+建物),1,2,0,2,0,2,,華廈(10層含以下有電梯),2400000,21661,,0,有,1150207,34.32,,鄉村區,乙種建築用地,110.8,住家用,鋼筋混凝土造,七層,790920,35,四層,0,高雄市鳥松區松埔北巷１１之１１５號,鳥松區,松埔段,,有,,1.依現況交付2.含租約,63.82,9.62,10.04
買賣,土地,1,0,0,0,0,0,,其他,4915000,75615,,0,無,1150209,65,住,,,0,,,,,,,0,興農段298-8地號,大社區,興農段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,500000,216,,0,無,1150224,2318,,山坡地保育區,林業用地,0,,,,,,,0,田寮段1008地號,田寮區,田寮段,,無,,,0,0,0
買賣,土地,2,0,0,0,0,0,,其他,600000,1340,,0,無,1150220,447.82,,一般農業區,農牧用地,0,,,,,,,0,興龍段257地號,燕巢區,興龍段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,房地(土地+建物),1,1,0,5,1,3,,透天厝,2654950,17573,,0,無,1150202,70.15,住,,,151.08,住商用,鋼筋混凝土造,三層,820614,33,全,0,高雄市鳥松區仁德路８之４號,鳥松區,美德段,,無,,親友、員工、共有人或其他特殊關係間之交易；,151.08,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,,住宅大樓(11層含以上有電梯),1000000,29061,,0,有,1150225,2.96,商,,,34.41,住家用,鋼筋混凝土造,十二層,701124,44,六層,0,高雄市鹽埕區府北路２５號６樓之２６,鹽埕區,府北段五小段,,有,,親友、員工、共有人或其他特殊關係間之交易；,27.3,0,0
買賣,土地,1,0,0,0,0,0,,其他,6000000,120943,,0,無,1150212,49.61,農,,,0,,,,,,,0,龍華段三小段679地號,鼓山區,龍華段三小段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,,華廈(10層含以下有電梯),13500000,96422,坡道平面,0,有,1150203,23.57,住,,,140.01,住家用,鋼筋混凝土造,九層,871027,27,三層,34.72,高雄市苓雅區昇平街１２１號３樓之３,苓雅區,成功段,,有,地下一樓,,72.24,0,7.9
買賣,房地(土地+建物),2,1,0,3,1,1,,公寓(5樓含以下無電梯),3400000,45467,,0,無,1150210,35,都市：其他:第二種特定商業專用區,,,74.78,住家用,鋼筋混凝土造,四層,601022,54,三層,0,高雄市新興區忠孝一路１２巷２６之２號,新興區,大統段二小段,,無,,本件賣方免除物之瑕疵擔保責任。包含公共設施保留地用地；,74.78,0,0
